id,name,club,age,league,nationality,height_cm,weight_kg,pace,shooting,passing,dribbling,defense,physical,gk_habilities,position
13038,J. Chianese,Perth Glory,27,Australian A-League,Australia,176,75,69,59,57,61,36,55,11,Striker
13039,N. Hunt,Wigan Athletic,34,English League One,Republic of Ireland,173,74,66,58,50,59,36,72,12,Striker
13040,M. Diallo,AJ Auxerre,20,French Ligue 2,France,178,69,61,38,52,54,62,71,12,Defender
13041,O. Cabezas,Patriotas Boyacá FC,20,Colombian Primera A,Colombia,180,79,69,25,38,53,62,69,11,Defender
13042,T. Vaiho,Djurgårdens IF,28,Swedish Allsvenskan,Sweden,188,78,61,56,52,70,32,59,60,Goalkeeper
13043,B. Hamill,Western Sydney Wanderers,24,Australian A-League,Australia,185,79,64,43,48,48,61,61,11,Defender
13044,F. Ávila,Tigres FC,23,Colombian Primera A,Colombia,179,70,77,38,60,69,45,53,12,Midfielder
13045,D. Cortés,Guadalajara,19,Mexican Liga MX,Mexico,173,67,70,39,58,59,58,52,11,Defender
13046,J. Tell,Stade Rennais FC,20,French Ligue 1,France,185,74,56,65,48,59,31,59,7,Striker
13047,K. Hansen,Sarpsborg 08 FF,22,Norwegian Eliteserien,Norway,180,72,78,55,56,64,50,55,13,Defender
13048,A. Kuen,SK Rapid Wien,22,Austrian Bundesliga,Austria,175,72,68,55,61,65,35,55,11,Striker
13049,J. Stead,Notts County,34,English League Two,England,191,76,47,63,59,58,30,56,14,Striker
13050,J. Ruddy,Oldham Athletic,20,English League One,Scotland,193,83,62,59,54,64,42,61,60,Goalkeeper
13051,G. Gül,Fortuna Düsseldorf,18,German 2. Bundesliga,Germany,180,75,62,26,44,54,61,64,12,Defender
13052,M. Falk Olander,IFK Norrköping,30,Swedish Allsvenskan,Sweden,180,76,65,44,48,56,57,72,12,Defender
13053,B. Olejnik,Mansfield Town,30,English League Two,Austria,188,83,65,60,55,61,37,59,60,Goalkeeper
13054,A. Monsecour,Sporting Lokeren,21,Belgian First Division A,Belgium,176,66,67,28,51,55,62,58,11,Defender
13055,G. Tetrashvili,FC Anzhi Makhachkala,28,Russian Premier League,Russia,178,75,59,48,60,59,66,68,11,Defender
13056,S. Al Khaibari,Al Fayha,27,Saudi Professional League,Saudi Arabia,185,74,60,25,37,34,62,65,11,Defender
13057,F. Deli,Foggia,22,Italian Serie B,Italy,182,75,62,56,62,64,47,53,9,Midfielder
13058,Akieme,Rayo Vallecano,19,Spanish Segunda División,Spain,175,65,72,37,50,56,57,63,12,Defender
13059,A. Fallatah,Al Qadisiyah,23,Saudi Professional League,Saudi Arabia,184,68,65,30,37,42,61,66,9,Defender
13060,Daniel Raba,Villarreal CF,21,Spanish Primera División,Spain,184,74,70,54,57,60,26,52,13,Midfielder
13061,L. Hendrie,Bradford City,22,English League One,England,178,72,71,34,53,58,59,62,9,Defender
13062,A. Keita,Le Havre AC,23,French Ligue 2,Mali,175,75,68,46,58,58,60,66,11,Defender
13063,E. Binaku,BK Häcken,21,Swedish Allsvenskan,Sweden,182,74,79,41,50,61,59,66,11,Defender
13064,B. Passi,Le Havre AC,19,French Ligue 2,France,189,78,64,39,58,55,60,60,10,Defender
13065,L. Sowah,Cracovia,24,Polish Ekstraklasa,Germany,187,80,69,51,60,61,56,67,12,Defender
13066,R. Bowman,Motherwell,25,Scottish Premiership,England,188,76,68,59,42,57,25,76,10,Striker
13067,O. Kristinsson,Excelsior,28,Holland Eredivisie,Iceland,191,88,57,65,55,70,45,58,61,Goalkeeper
13068,M. Sharahili,Al Nassr,25,Saudi Professional League,Saudi Arabia,195,92,64,59,50,67,45,62,60,Goalkeeper
13069,B. Murphy,St. Patrick's Athletic,32,Rep. Ireland Premier Division,Republic of Ireland,178,82,63,62,60,63,35,61,62,Goalkeeper
13070,M. Maloca,Al Faisaly,27,Saudi Professional League,Croatia,176,70,63,47,59,57,60,65,12,Defender
13071,R. Matsuda,Cerezo Osaka,25,Japanese J1 League,Japan,171,69,79,23,52,60,54,75,11,Defender
13072,D. Iversen,Leicester City,19,English Premier League,Denmark,193,80,67,61,62,61,42,59,62,Goalkeeper
13073,D. Caddy,US Quevilly-Rouen,22,French Ligue 2,France,186,85,64,63,50,59,24,70,11,Striker
13074,F. Lončarić,Tromsø IL,30,Norwegian Eliteserien,Croatia,191,86,63,59,62,64,33,63,62,Goalkeeper
13075,D. Gardner,Oldham Athletic,27,English League One,England,182,80,75,62,61,64,43,64,5,Striker
13076,V. Pollet,LOSC Lille,20,French Ligue 1,France,177,71,64,51,64,64,35,46,10,Midfielder
13077,D. Opazo,Newell's Old Boys,20,Argentinian Superliga,Argentina,178,75,61,64,52,63,23,51,10,Striker
13078,A. Whitmore,Bury,21,English League One,England,180,68,54,33,37,46,61,67,12,Defender
13079,S. Odelusi,Colchester United,24,English League Two,England,183,79,79,57,51,62,24,66,9,Striker
13080,L. Vocaj,Rot-Weiß Erfurt,23,German 3. Liga,Germany,181,75,68,42,54,55,56,71,11,Midfielder
13081,D. Gómez,Tigres FC,28,Colombian Primera A,Colombia,172,65,71,56,55,68,32,47,9,Striker
13082,Thio Rolim,Atlético Clube Goianiense,33,Campeonato Brasileiro Série A,Brazil,181,75,73,62,64,55,50,57,13,Midfielder
13083,Álex Centelles,Valencia CF,17,Spanish Primera División,Spain,186,67,66,42,50,54,61,55,11,Defender
13084,R. Jackson,Colchester United,26,English League Two,England,175,65,83,46,50,62,55,67,12,Defender
13085,Je Jong Hyeon,Sangju Sangmu FC,25,Korean K League Classic,Korea Republic,191,87,62,61,58,60,44,66,61,Goalkeeper
13086,Steven Prieto,Real Oviedo,19,Spanish Segunda División,Spain,182,78,62,64,45,58,26,61,10,Striker
13087,R. Ragni,Ascoli,26,Italian Serie B,Italy,186,80,61,59,56,66,48,63,61,Goalkeeper
13088,Jwa Joon Hyeop,Jeju United FC,26,Korean K League Classic,Korea Republic,177,72,56,48,61,61,54,77,12,Midfielder
13089,A. Shavaev,Amkar Perm,24,Russian Premier League,Russia,176,70,63,65,60,69,56,53,10,Midfielder
13090,L. Kubáň,Sandecja Nowy Sącz,30,Polish Ekstraklasa,Czech Republic,177,72,67,49,53,57,62,59,13,Defender
13091,Y. Chajima,Sanfrecce Hiroshima,25,Japanese J1 League,Japan,166,60,71,55,64,65,35,47,10,Midfielder
13092,Jeong Dong Yun,GwangJu FC,23,Korean K League Classic,Korea Republic,174,62,68,31,56,56,58,63,11,Defender
13093,B. Niasse,KAS Eupen,20,Belgian First Division A,Senegal,192,65,71,60,57,66,31,51,61,Goalkeeper
13094,M. Cavallotti,Argentinos Juniors,32,Argentinian Superliga,Argentina,187,81,63,65,54,60,25,64,61,Goalkeeper
13095,O. Kwabena,Real Oviedo,20,Spanish Segunda División,Ghana,182,75,70,52,54,65,23,52,9,Striker
13096,B. Valette,Nîmes Olympique,24,French Ligue 2,France,185,78,64,60,60,66,41,60,62,Goalkeeper
13097,A. Pinamonti,Inter,18,Italian Serie A,Italy,186,72,54,64,45,64,24,49,11,Striker
13098,J. Sinnott,Chesterfield,23,English League Two,England,180,77,69,56,58,62,49,61,11,Midfielder
13099,Bae Cheon Seok,Jeonnam Dragons,27,Korean K League Classic,Korea Republic,189,79,64,59,38,58,26,70,10,Striker
13100,D. Barinov,Lokomotiv Moscow,20,Russian Premier League,Russia,179,72,65,45,56,54,60,60,10,Defender
13101,F. Cobos,Godoy Cruz,24,Argentinian Superliga,Argentina,178,83,58,33,48,62,64,64,9,Defender
13102,Arribas,AD Alcorcón,18,Spanish Segunda División,Spain,178,68,61,62,50,61,32,49,10,Striker
13103,N. Sangaré,Antalyaspor,23,Turkish Süper Lig,Germany,185,72,90,35,45,47,54,66,11,Defender
13104,M. Nzola,Carpi,20,Italian Serie B,France,185,82,69,62,44,58,19,60,12,Striker
13105,V. Belon,RC Lens,22,French Ligue 2,France,180,77,64,61,61,62,46,57,61,Goalkeeper
13106,Miguelón,Villarreal CF,21,Spanish Primera División,Spain,175,70,68,28,50,55,61,55,11,Defender
13107,J. Berrett,Grimsby Town,28,English League Two,Republic of Ireland,175,72,68,56,61,57,54,64,11,Defender
13108,M. Kuttin,FC Admira Wacker Mödling,23,Austrian Bundesliga,Austria,194,94,64,58,68,65,35,60,63,Goalkeeper
13109,De la Calzada,Valencia CF,22,Spanish Primera División,Spain,191,81,60,62,59,66,27,62,62,Goalkeeper
13110,R. Leal,KV Mechelen,20,Belgian First Division A,Costa Rica,169,66,67,55,62,68,33,38,13,Midfielder
13111,M. Engelhardt,Eintracht Braunschweig,24,German 2. Bundesliga,Germany,191,87,62,61,65,64,45,62,63,Goalkeeper
13112,E. Şehit,Gençlerbirliği SK,21,Turkish Süper Lig,Turkey,170,67,70,42,60,64,34,53,11,Midfielder
13113,I. Maela,Orlando Pirates,24,South African PSL,South Africa,170,65,69,39,38,64,67,49,11,Defender
13114,C. Mauersberger,FSV Zwickau,22,German 3. Liga,Germany,170,64,75,52,59,63,41,45,13,Midfielder
13115,R. Contreras,Arsenal de Sarandí,21,Argentinian Superliga,Argentina,186,84,64,61,45,65,30,64,13,Striker
13116,Y. Kobayashi,Sagan Tosu,31,Japanese J1 League,Japan,176,72,56,27,49,54,62,66,9,Defender
13117,N. Bajrami,Grasshopper Club Zürich,18,Swiss Super League,Switzerland,179,63,74,52,63,66,52,59,9,Midfielder
13118,B. Knott,Lincoln City,24,English League Two,England,173,71,70,58,61,65,45,66,11,Midfielder
13119,F. Sierralta,Parma,20,Italian Serie B,Chile,190,83,58,30,46,51,64,72,10,Defender
13120,C. Lustenberger,FC Luzern,30,Swiss Super League,Switzerland,182,75,67,46,56,57,59,75,11,Defender
13121,G. Docherty,Hamilton Academical FC,20,Scottish Premiership,Scotland,177,72,65,49,57,67,52,67,12,Midfielder
13122,L. Escorcia,Jaguares Fútbol Club,20,Colombian Primera A,Colombia,183,77,56,25,37,40,62,65,11,Defender
13123,R. Diarra,AS Monaco,22,French Ligue 1,France,185,76,44,29,45,42,65,58,10,Defender
13124,Toni Martínez,West Ham United,20,English Premier League,Spain,180,70,72,61,47,58,21,56,10,Striker
13125,F. Wagner,FSV Zwickau,19,German 3. Liga,Germany,180,75,66,59,54,61,52,64,10,Midfielder
13126,D. Keita-Ruel,SC Fortuna Köln,27,German 3. Liga,Germany,185,79,75,60,46,60,25,80,12,Striker
13127,D. Ernst,SC Fortuna Köln,26,German 3. Liga,Germany,178,72,68,38,49,54,57,70,8,Defender
13128,Y. Bunting,Kaizer Chiefs,21,South African PSL,South Africa,178,70,73,61,50,62,25,51,10,Striker
13129,T. Väyrynen,Hansa Rostock,24,German 3. Liga,Finland,191,85,53,61,47,52,29,67,13,Striker
13130,N. Dalmonte,Cesena,19,Italian Serie B,Italy,169,73,65,61,52,62,24,50,11,Striker
13131,J. Aguirre,La Equidad,26,Colombian Primera A,Uruguay,181,77,64,26,44,54,66,70,11,Defender
13132,C. Djim,Roda JC Kerkrade,22,Holland Eredivisie,Belgium,179,84,81,60,52,64,24,68,12,Striker
13133,N. Rieble,VfL Bochum,21,German 2. Bundesliga,Germany,183,80,64,33,49,59,59,67,8,Defender
13134,K. Mohammed,FK Austria Wien,21,Austrian Bundesliga,Ghana,181,75,64,33,44,51,62,66,11,Defender
13135,D. Massey,Dundalk,29,Rep. Ireland Premier Division,Republic of Ireland,183,74,53,53,60,59,61,66,13,Defender
13136,Park Joon Kang,Sangju Sangmu FC,26,Korean K League Classic,Korea Republic,173,68,63,26,49,63,62,51,12,Defender
13137,G. Zajkov,Sporting Charleroi,22,Belgian First Division A,FYR Macedonia,186,79,41,24,45,43,61,64,13,Defender
13138,David de Paula,FK Austria Wien,33,Austrian Bundesliga,Spain,176,66,67,56,63,66,60,58,11,Midfielder
13139,I. Azzaoui,Willem II,19,Holland Eredivisie,Belgium,179,72,73,54,54,68,23,43,11,Striker
13140,Kim Jung Hwan,FC Seoul,20,Korean K League Classic,Korea Republic,175,65,74,57,57,59,32,55,8,Midfielder
13141,J. Sartiaguin,Deportivo Toluca,23,Mexican Liga MX,Mexico,172,70,65,49,61,62,60,58,10,Midfielder
13142,J. Gorenc Stanković,Huddersfield Town,21,English Premier League,Slovenia,190,78,53,40,50,53,61,65,9,Defender
13143,J. Ramírez,CD Once Caldas Manizales,29,Colombian Primera A,Colombia,180,78,63,26,32,39,62,63,11,Defender
13144,Roger Figueras,Gimnàstic de Tarragona,20,Spanish Segunda División,Spain,180,74,62,37,57,61,61,60,11,Defender
13145,Cristian,SD Eibar,22,Spanish Primera División,Spain,191,73,39,28,42,45,59,71,12,Defender
13146,H. Barry,Orlando City Soccer Club,24,USA Major League Soccer,Guinea,180,73,87,52,49,66,27,65,12,Striker
13147,L. Doumbouya,SKN St. Pölten,26,Austrian Bundesliga,Guinea,193,88,55,63,38,54,26,73,9,Striker
13148,Aylton Boa Morte,Estoril Praia,23,Portuguese Primeira Liga,Portugal,182,75,76,57,49,66,30,56,11,Striker
13149,J. Inamoto,Hokkaido Consadole Sapporo,37,Japanese J1 League,Japan,181,77,59,61,62,63,64,55,11,Defender
13150,A. Guillen,FC Dallas,24,USA Major League Soccer,Mexico,183,73,72,27,49,58,61,72,11,Defender
13151,Mateus,Omiya Ardija,22,Japanese J1 League,Brazil,167,69,71,49,59,65,44,62,10,Midfielder
13152,N. Andreev,Zenit St. Petersburg,19,Russian Premier League,Russia,177,61,74,58,56,67,31,35,9,Striker
13153,E. Rito,Patriotas Boyacá FC,21,Colombian Primera A,Venezuela,173,72,81,30,43,53,56,53,10,Defender
13154,A. Kay,Port Vale,34,English League Two,England,180,85,32,54,54,53,62,65,10,Defender
13155,P. Drewes,Würzburger FV,24,German 3. Liga,Germany,193,87,64,61,63,59,29,62,62,Goalkeeper
13156,D. Delaunay,US Quevilly-Rouen,22,French Ligue 2,France,185,85,61,61,58,64,46,61,61,Goalkeeper
13157,D. Gómez,CD Once Caldas Manizales,29,Colombian Primera A,Colombia,173,73,65,37,56,63,60,67,11,Defender
13158,G. Morris,Crawley Town,33,English League Two,England,183,70,67,56,62,66,58,59,62,Goalkeeper
13159,M. Buchalik,Wisła Kraków,28,Polish Ekstraklasa,Poland,190,83,61,58,59,61,33,66,61,Goalkeeper
13160,J. Rose,Central Coast Mariners,35,Australian A-League,Australia,179,76,66,50,57,59,59,68,10,Defender
13161,C. Udoji,Lillestrøm SK,30,Norwegian Eliteserien,Nigeria,172,67,75,57,59,69,31,65,12,Midfielder
13162,M. Kleihs,Würzburger FV,23,German 3. Liga,Germany,178,70,76,40,57,61,55,63,7,Defender
13163,S. Gannon,Dundalk,25,Rep. Ireland Premier Division,Republic of Ireland,183,67,68,52,56,60,61,61,11,Defender
13164,M. Duffy,Dundalk,22,Rep. Ireland Premier Division,Northern Ireland,179,75,70,59,58,63,48,57,11,Striker
13165,A. Pelvas,HJK Helsinki,28,Finnish Veikkausliiga,Finland,180,77,75,64,52,61,21,56,8,Striker
13166,S. Demhasaj,FC Luzern,21,Swiss Super League,Switzerland,191,74,55,68,42,55,22,54,11,Striker
13167,M. Biankadi,Rot-Weiß Erfurt,22,German 3. Liga,Congo,181,78,71,51,55,62,61,70,11,Defender
13168,E. Agüero,San Martín de San Juan,22,Argentinian Superliga,Argentina,179,81,61,48,55,60,55,76,13,Midfielder
13169,S. Binakaj,SG Sonnenhof Großaspach,28,German 3. Liga,Albania,178,72,79,55,56,67,48,69,10,Midfielder
13170,T. Ito,Hamburger SV,20,German Bundesliga,Japan,166,59,72,42,55,71,29,37,11,Midfielder
13171,C. Robertson,Blackpool,23,English League One,Scotland,188,76,67,28,51,59,59,70,10,Defender
13172,J. Carroll,Cambridge United,25,English League Two,Republic of Ireland,183,78,73,43,57,58,58,63,11,Defender
13173,T. Kanai,Yokohama F. Marinos,27,Japanese J1 League,Japan,175,70,64,55,55,63,58,64,12,Defender
13174,M. Proietti,Pescara,25,Italian Serie B,Italy,181,69,49,37,60,58,55,60,10,Midfielder
13175,H. Norbye,Tromsø IL,30,Norwegian Eliteserien,Norway,176,76,85,55,51,62,55,65,12,Defender
13176,A. Plizzari,Ternana,17,Italian Serie B,Italy,187,77,65,63,59,69,41,57,63,Goalkeeper
13177,D. Erdoğan,LASK Linz,20,Austrian Bundesliga,Turkey,182,79,65,43,58,59,49,69,8,Midfielder
13178,Bruno,LASK Linz,23,Austrian Bundesliga,Brazil,180,75,76,57,59,64,24,51,9,Midfielder
13179,L. Candellone,Ternana,19,Italian Serie B,Italy,186,80,66,64,58,61,31,74,9,Striker
13180,L. Königshofer,SpVgg Unterhaching,28,German 3. Liga,Austria,193,89,65,55,53,66,50,59,60,Goalkeeper
13181,D. Schütz,SKN St. Pölten,26,Austrian Bundesliga,Austria,169,66,83,58,57,67,26,48,10,Striker
13182,Yun Sang Ho,Incheon United FC,25,Korean K League Classic,Korea Republic,179,64,46,54,60,62,39,61,10,Midfielder
13183,P. Vignaud,US Quevilly-Rouen,34,French Ligue 2,France,174,64,65,38,58,60,62,52,13,Defender
13184,J. Lorch,SV Wehen Wiesbaden,21,German 3. Liga,Germany,188,79,66,41,52,58,59,71,9,Defender
13185,J. Vidović,SV Meppen,28,German 3. Liga,Slovenia,197,88,53,24,36,32,59,73,11,Defender
13186,F. Ladapo,Crystal Palace,24,English Premier League,Nigeria,183,79,77,60,41,60,19,71,11,Striker
13187,T. Valls,Nîmes Olympique,21,French Ligue 2,France,180,75,64,56,62,62,60,65,11,Midfielder
13188,S. Al Masrahi,Al Batin,30,Saudi Professional League,Saudi Arabia,188,88,38,24,32,37,60,72,9,Defender
13189,S. Furtado,US Orléans Loiret Football,22,French Ligue 2,France,175,68,72,46,58,63,59,47,8,Defender
13190,E. Konsa,Charlton Athletic,19,English League One,England,183,77,76,38,51,53,61,65,11,Defender
13191,Ronaldo,Ohod Club,23,Saudi Professional League,Brazil,172,73,64,57,57,62,62,67,10,Defender
13192,J. Arrieta,Jaguares Fútbol Club,26,Colombian Primera A,Colombia,182,78,66,58,37,58,27,67,10,Striker
13193,D. Irandust,BK Häcken,19,Swedish Allsvenskan,Sweden,185,73,59,50,60,65,41,56,10,Midfielder
13194,T. Hawkridge,Notts County,27,English League Two,England,175,70,61,53,61,63,39,51,12,Midfielder
13195,T. Denton,Port Vale,21,English League Two,England,175,66,78,48,56,62,56,59,10,Defender
13196,J. Ibáñez,Arsenal de Sarandí,20,Argentinian Superliga,Argentina,178,72,68,56,57,62,35,64,10,Midfielder
13197,F. Saucedo,,27,,Bolivia,173,69,59,41,60,58,64,54,8,Midfielder
13198,A. Zamudio,U.N.A.M.,19,Mexican Liga MX,Mexico,174,68,67,51,60,64,45,57,11,Midfielder
13199,B. Kraev,FC Midtjylland,20,Danish Superliga,Bulgaria,183,70,62,56,57,64,41,47,8,Midfielder
13200,K. Roos,Port Vale,25,English League Two,Netherlands,196,90,66,58,60,61,41,62,61,Goalkeeper
13201,J. Gerlach,FC Carl Zeiss Jena,27,German 3. Liga,Germany,193,75,55,22,46,38,62,67,9,Defender
13202,André Sousa,FC Paços de Ferreira,19,Portuguese Primeira Liga,Portugal,175,67,63,48,62,64,50,52,8,Midfielder
13203,I. Ndiaye,Randers FC,23,Danish Superliga,Senegal,179,66,83,57,51,65,27,60,9,Striker
13204,J. Petriccione,Bari,22,Italian Serie B,Italy,180,75,58,49,61,62,58,56,12,Midfielder
13205,A. Vilhjálmsson,Jönköpings Södra IF,23,Swedish Allsvenskan,Iceland,180,78,66,58,45,64,26,61,9,Striker
13206,M. Bähre,Hannover 96,21,German Bundesliga,Germany,177,70,67,59,61,66,32,44,11,Midfielder
13207,L. Kryger,AC Horsens,34,Danish Superliga,Denmark,188,79,60,62,59,62,40,69,11,Striker
13208,M. Brahimi,Grasshopper Club Zürich,24,Swiss Super League,Kosovo,172,65,78,55,57,67,49,61,10,Defender
13209,Asumah,Willem II,20,Holland Eredivisie,Portugal,183,70,76,57,51,68,25,61,8,Striker
13210,Esteve,Córdoba CF,21,Spanish Segunda División,Spain,180,70,60,53,62,63,60,50,8,Midfielder
13211,R. Spinaci,Club Atlético Tigre,24,Argentinian Superliga,Argentina,177,68,63,40,56,57,58,70,11,Midfielder
13212,M. Barnofsky,Hallescher FC,22,German 3. Liga,Germany,191,81,65,36,36,38,60,74,11,Defender
13213,E. Torres,Guadalajara,19,Mexican Liga MX,Mexico,165,55,73,56,59,65,30,35,11,Striker
13214,L. Jeréz Silva,Defensa y Justicia,28,Argentinian Superliga,Argentina,183,82,62,54,52,58,65,66,11,Defender
13215,M. Gómez,Envigado FC,20,Colombian Primera A,Colombia,180,70,74,58,43,58,20,58,12,Striker
13216,Y. van Osch,PSV,20,Holland Eredivisie,Netherlands,183,76,63,59,57,67,43,61,61,Goalkeeper
13217,H. El Helwe,Hallescher FC,22,German 3. Liga,Lebanon,187,78,74,57,55,68,29,61,11,Striker
13218,N. Kühn,RB Leipzig,17,German Bundesliga,Germany,174,69,65,61,54,72,23,38,12,Striker
13219,W. Norris,Wolverhampton Wanderers,23,English Championship,England,191,76,66,60,58,67,45,60,62,Goalkeeper
13220,M. Ambrose,Atlanta United FC,23,USA Major League Soccer,United States,175,75,76,40,46,57,58,66,13,Defender
13221,S. van der Lei,Willem II,24,Holland Eredivisie,Netherlands,186,79,64,58,59,68,46,55,61,Goalkeeper
13222,J. Yorwerth,Crawley Town,22,English League Two,Wales,185,75,63,27,45,40,59,68,12,Defender
13223,M. Austin,Melbourne Victory,26,Australian A-League,Australia,186,78,90,56,54,63,46,72,10,Midfielder
13224,J. Strauß,FC Erzgebirge Aue,21,German 2. Bundesliga,Germany,175,67,67,52,58,62,51,56,10,Midfielder
13225,E. Goldero,Club de Deportes Temuco,33,Chilian Primera División,Chile,181,75,73,62,64,55,50,57,13,Midfielder
13226,O. Fane,Oldham Athletic,23,English League One,France,193,80,69,46,55,60,62,80,11,Defender
13227,A. Abedzadeh,CS Marítimo,24,Portuguese Primeira Liga,Iran,186,86,63,60,59,63,22,58,61,Goalkeeper
13228,J. Cook,Middlesbrough,18,English Championship,England,180,70,57,30,37,42,67,53,8,Defender
13229,R. Grzelak,Heart of Midlothian,28,Scottish Premiership,Poland,187,83,60,58,57,59,58,83,12,Defender
13230,M. Bakaev,FC Anzhi Makhachkala,29,Russian Premier League,Russia,178,75,60,44,61,58,56,67,10,Midfielder
13231,M. Piątkowski,Wisła Płock,32,Polish Ekstraklasa,Poland,186,75,61,63,46,63,20,64,11,Striker
13232,Roni,Albirex Niigata,22,Japanese J1 League,Brazil,170,65,76,61,55,63,30,52,13,Striker
13233,O. Shevelyukhin,Górnik Zabrze,34,Polish Ekstraklasa,Ukraine,192,88,39,39,45,47,60,68,9,Defender
13234,R. Jensen,FC Twente,21,Holland Eredivisie,Finland,184,78,50,43,58,63,55,66,11,Midfielder
13235,Erik Ruiz,Deportivo Alavés,22,Spanish Primera División,Spain,180,75,65,24,39,40,62,58,10,Defender
13236,M. Ballini,Atlético Tucumán,28,Argentinian Superliga,Argentina,173,75,62,39,47,55,62,73,12,Defender
13237,M. Evouna,Atiker Konyaspor,24,Turkish Süper Lig,Gabon,180,82,70,57,42,61,31,63,9,Striker
13238,P. Grazziani,Alianza Petrolera,22,Colombian Primera A,Colombia,183,75,63,60,58,64,42,63,62,Goalkeeper
13239,J. Ángulo,Asociacion Deportivo Cali,21,Colombian Primera A,Colombia,182,74,72,25,52,63,57,70,11,Defender
13240,S. Ibrahim,FK Haugesund,20,Norwegian Eliteserien,Nigeria,177,77,79,61,43,60,21,72,12,Striker
13241,G. Poussin,Girondins de Bordeaux,18,French Ligue 1,France,184,82,64,62,60,64,21,62,62,Goalkeeper
13242,C. Nava,Club Atlas,22,Mexican Liga MX,Mexico,168,64,73,61,61,62,27,48,10,Striker
13243,O. Mandanda,Girondins de Bordeaux,18,French Ligue 1,France,179,77,67,63,59,66,26,62,63,Goalkeeper
13244,B. Lozano,U.N.A.M.,20,Mexican Liga MX,Mexico,167,54,70,58,55,67,32,36,8,Striker
13245,E. Ba,FC Sochaux-Montbéliard,24,French Ligue 2,France,183,74,71,51,57,64,54,72,11,Midfielder
13246,J. Leyton,Tigres FC,26,Colombian Primera A,Colombia,181,78,62,62,57,60,44,62,61,Goalkeeper
13247,T. King,Millwall,22,English Championship,England,186,80,63,62,61,63,44,61,62,Goalkeeper
13248,P. Sarr,FC Zürich,24,Swiss Super League,Senegal,181,70,68,43,62,61,50,69,10,Midfielder
13249,Aitor Lorea,CA Osasuna,19,Spanish Segunda División,Spain,170,68,74,55,58,64,27,55,10,Striker
13250,Javi Alonso,CD Tenerife,18,Spanish Segunda División,Spain,182,78,61,50,60,60,57,67,11,Midfielder
13251,B. Clifford,Crawley Town,24,English League Two,England,170,66,67,55,63,63,49,61,9,Midfielder
13252,O. NDicka,AJ Auxerre,17,French Ligue 2,France,190,80,77,44,55,59,61,72,9,Defender
13253,S. Jovanović,Córdoba CF,25,Spanish Segunda División,Serbia,176,75,67,58,62,62,31,48,10,Striker
13254,T. Chencinski,Shamrock Rovers,32,Rep. Ireland Premier Division,Canada,190,80,60,63,59,57,32,68,61,Goalkeeper
13255,T. Nørgaard,Silkeborg IF,30,Danish Superliga,Denmark,185,77,57,56,57,62,29,66,60,Goalkeeper
13256,G. Gillespie,Hamilton Academical FC,25,Scottish Premiership,Scotland,176,75,64,31,59,62,58,77,9,Defender
13257,R. Gelmi,FC Thun,22,Swiss Super League,Switzerland,188,78,77,40,34,36,61,71,12,Defender
13258,K. Yamamoto,Júbilo Iwata,27,Japanese J1 League,Japan,179,79,71,48,62,66,49,67,10,Midfielder
13259,L. D'Ath,Luton Town,24,English League Two,England,175,77,70,55,58,63,46,60,9,Midfielder
13260,R. Vincent,D.C. United,26,USA Major League Soccer,England,178,79,67,58,61,59,55,67,8,Midfielder
13261,F. Baak,Hertha BSC Berlin,18,German Bundesliga,Germany,185,75,52,33,42,45,60,67,10,Defender
13262,R. Pillot,La Berrichonne de Châteauroux,26,French Ligue 2,France,187,82,60,61,64,61,39,61,61,Goalkeeper
13263,Z. Pliev,Terek Grozny,25,Russian Premier League,Russia,188,80,64,19,44,37,64,72,12,Defender
13264,Víctor Ruiz,Real Sporting de Gijón,22,Spanish Segunda División,Spain,176,73,72,34,48,48,58,69,10,Defender
13265,S. Nattestad,Molde FK,22,Norwegian Eliteserien,Faroe Islands,197,95,59,37,38,42,60,72,10,Defender
13266,C. Aasbak,Kristiansund BK,23,Norwegian Eliteserien,Norway,187,81,68,53,61,58,58,72,12,Defender
13267,D. Byrtek,Wisła Płock,26,Polish Ekstraklasa,Poland,193,84,68,20,39,31,59,79,12,Defender
13268,Álex Guanche,UD Las Palmas,23,Spanish Primera División,Spain,180,69,62,60,50,64,57,60,59,Goalkeeper
13269,H. Kawabe,Júbilo Iwata,21,Japanese J1 League,Japan,178,70,76,53,59,66,57,60,10,Midfielder
13270,S. Hird,Chesterfield,29,English League Two,England,182,76,50,36,44,51,62,65,19,Defender
13271,F. Obilor,HJK Helsinki,26,Finnish Veikkausliiga,Nigeria,185,95,62,23,36,43,58,74,12,Defender
13272,C. Röcker,SC Fortuna Köln,23,German 3. Liga,Germany,186,77,72,41,55,55,58,61,11,Defender
13273,T. Lindenhahn,Hallescher FC,26,German 3. Liga,Germany,175,72,73,53,58,62,55,70,13,Defender
13274,K. Yeboah,Borussia Mönchengladbach,23,German Bundesliga,Australia,182,74,76,63,47,66,23,53,13,Striker
13275,T. Ndenge,Roda JC Kerkrade,20,Holland Eredivisie,Germany,188,81,72,52,61,64,58,67,11,Midfielder
13276,F. Flórez,Alianza Petrolera,24,Colombian Primera A,Colombia,178,62,65,41,54,63,59,66,9,Defender
13277,M. Mbaye,Carpi,21,Italian Serie B,Senegal,185,75,75,48,59,66,49,68,11,Midfielder
